Bacterial_associate_taxa,Class,Family,Fungal_host_taxa,Genus,Order,Phylum,Superkingdom
Cloacibacterium,Dothideomycetes,Pleosporaceae,Bipolaris,Bipolaris,Pleosporales,Ascomycota,Eukaryota
Cloacibacterium,Pucciniomycetes,Coleosporiaceae,Cronartium,Cronartium,Pucciniales,Basidiomycota,Eukaryota
Cloacibacterium,Agaricomycetes,Agaricaceae,Macrolepiota,Macrolepiota,Agaricales,Basidiomycota,Eukaryota
Clostridioides,Mucoromycetes,Phycomycetaceae,Phycomyces,Phycomyces,Mucorales,Mucoromycota,Eukaryota
Clostridium,Mucoromycetes,Phycomycetaceae,Phycomyces,Phycomyces,Mucorales,Mucoromycota,Eukaryota
Coleofasciculus,Tremellomycetes,Cryptococcaceae,Cryptococcus,Cryptococcus,Tremellales,Basidiomycota,Eukaryota
Coleofasciculus,Tremellomycetes,Bulleribasidiaceae,Dioszegia,Dioszegia,Tremellales,Basidiomycota,Eukaryota
Comamonas,Agaricomycetes,Lachnocladiaceae,Scytinostroma,Scytinostroma,Russulales,Basidiomycota,Eukaryota
Commensalibacter,Leotiomycetes,Erysiphaceae,Erysiphe,Erysiphe,Erysiphales,Ascomycota,Eukaryota
Conexibacter,Lecanoromycetes,Lobariaceae,Lobaria,Lobaria,Peltigerales,Ascomycota,Eukaryota
Corynebacterium,Saccharomycetes,Ascoideaceae,Ascoidea,Ascoidea,Saccharomycetales,Ascomycota,Eukaryota
Corynebacterium,Dothideomycetes,Pleosporaceae,Bipolaris,Bipolaris,Pleosporales,Ascomycota,Eukaryota
Corynebacterium,Pucciniomycetes,Coleosporiaceae,Cronartium,Cronartium,Pucciniales,Basidiomycota,Eukaryota
Corynebacterium,Sordariomycetes,Lulworthiaceae,Lindra,Lindra,Lulworthiales,Ascomycota,Eukaryota
Corynebacterium,Agaricomycetes,Tulasnellaceae,Tulasnella,Tulasnella,Cantharellales,Basidiomycota,Eukaryota
Coxiella,Leotiomycetes,Pseudogymnoascus,Pseudogymnoascus,NA,Pseudeurotiaceae,Ascomycota,Eukaryota
Cryptosporangium,Dothideomycetes,Teratosphaeriaceae,Baudoinia,Baudoinia,Mycosphaerellales,Ascomycota,Eukaryota
Cupriavidus,Sordariomycetes,Sordariaceae,Neurospora,Neurospora,Sordariales,Ascomycota,Eukaryota
Curtobacterium,Neocallimastigomycetes,Neocallimastigaceae,Piromyces,Piromyces,Neocallimastigales,Chytridiomycota,Eukaryota
Curvibacter,Agaricomycetes,Fomitopsidaceae,Antrodia,Antrodia,Polyporales,Basidiomycota,Eukaryota
Curvibacter,Dothideomycetes,Aulographaceae,Aulographum,Aulographum,Aulographales,Ascomycota,Eukaryota
Curvibacter,Mucoromycetes,Backusellaceae,Backusella,Backusella,Mucorales,Mucoromycota,Eukaryota
Curvibacter,Dacrymycetes,Dacrymycetaceae,Calocera,Calocera,Dacrymycetales,Basidiomycota,Eukaryota
Curvibacter,Agaricomycetes,Physalacriaceae,Cylindrobasidium,Cylindrobasidium,Agaricales,Basidiomycota,Eukaryota
Curvibacter,Agaricomycetes,Dendrothele,Dendrothele,NA,Agaricales,Basidiomycota,Eukaryota
Curvibacter,Dothideomycetes,Argynnaceae,Lepidopterella,Lepidopterella,Mytilinidiales,Ascomycota,Eukaryota
Curvibacter,Mucoromycetes,Lichtheimiaceae,Lichtheimia,Lichtheimia,Mucorales,Mucoromycota,Eukaryota
Curvibacter,Dothideomycetes,Melanommataceae,Melanomma,Melanomma,Pleosporales,Ascomycota,Eukaryota
Curvibacter,Agaricomycetes,Hymenochaetaceae,Onnia,Onnia,Hymenochaetales,Basidiomycota,Eukaryota
Curvibacter,Agaricomycetes,Peniophoraceae,Peniophora,Peniophora,Russulales,Basidiomycota,Eukaryota
Curvibacter,Dothideomycetes,Capnodiaceae,Polychaeton,Polychaeton,Capnodiales,Ascomycota,Eukaryota
Curvibacter,Pezizomycetes,Pyronemataceae,Wilcoxina,Wilcoxina,Pezizales,Ascomycota,Eukaryota
Cutibacterium,Leotiomycetes,Amorphothecaceae,Amorphotheca,Amorphotheca,Helotiales,Ascomycota,Eukaryota
Cutibacterium,Agaricomycetes,Fomitopsidaceae,Antrodia,Antrodia,Polyporales,Basidiomycota,Eukaryota
Cutibacterium,Saccharomycetes,Ascoideaceae,Ascoidea,Ascoidea,Saccharomycetales,Ascomycota,Eukaryota
Cutibacterium,Dothideomycetes,Aulographaceae,Aulographum,Aulographum,Aulographales,Ascomycota,Eukaryota
Cutibacterium,Mucoromycetes,Backusellaceae,Backusella,Backusella,Mucorales,Mucoromycota,Eukaryota
Cutibacterium,Dothideomycetes,Pleosporaceae,Bipolaris,Bipolaris,Pleosporales,Ascomycota,Eukaryota
Cutibacterium,Agaricomycetes,Boletaceae,Boletus,Boletus,Boletales,Basidiomycota,Eukaryota
Cutibacterium,Dacrymycetes,Dacrymycetaceae,Calocera,Calocera,Dacrymycetales,Basidiomycota,Eukaryota
Cutibacterium,Agaricomycetes,Hydnaceae,Clavulina,Clavulina,Cantharellales,Basidiomycota,Eukaryota
Cutibacterium,Pucciniomycetes,Coleosporiaceae,Cronartium,Cronartium,Pucciniales,Basidiomycota,Eukaryota
Cutibacterium,Tremellomycetes,Cryptococcaceae,Cryptococcus,Cryptococcus,Tremellales,Basidiomycota,Eukaryota
Cutibacterium,Saccharomycetes,Phaffomycetaceae,Cyberlindnera,Cyberlindnera,Saccharomycetales,Ascomycota,Eukaryota
Cutibacterium,Agaricomycetes,Physalacriaceae,Cylindrobasidium,Cylindrobasidium,Agaricales,Basidiomycota,Eukaryota
Cutibacterium,Agaricomycetes,Dendrothele,Dendrothele,NA,Agaricales,Basidiomycota,Eukaryota
Cutibacterium,Agaricomycetes,Atheliaceae,Fibularhizoctonia,Fibularhizoctonia,Atheliales,Basidiomycota,Eukaryota
Cutibacterium,Agaricomycetes,Fomitopsidaceae,Fomitopsis,Fomitopsis,Polyporales,Basidiomycota,Eukaryota
Cutibacterium,Eurotiomycetes,Gymnoascaceae,Gymnascella,Gymnascella,Onygenales,Ascomycota,Eukaryota
Cutibacterium,Agaricomycetes,Gloeophyllaceae,Heliocybe,Heliocybe,Gloeophyllales,Basidiomycota,Eukaryota
Cutibacterium,Leotiomycetes,Hyaloscyphaceae,Hyaloscypha,Hyaloscypha,Helotiales,Ascomycota,Eukaryota
Cutibacterium,Agaricomycetes,Paxillaceae,Hydnomerulius,Hydnomerulius,Boletales,Basidiomycota,Eukaryota
Cutibacterium,Agaricomycetes,Strophariaceae,Hypholoma,Hypholoma,Agaricales,Basidiomycota,Eukaryota
Cutibacterium,Agaricomycetes,Auriscalpiaceae,Lentinellus,Lentinellus,Russulales,Basidiomycota,Eukaryota
Cutibacterium,Dothideomycetes,Argynnaceae,Lepidopterella,Lepidopterella,Mytilinidiales,Ascomycota,Eukaryota
Cutibacterium,Mucoromycetes,Lichtheimiaceae,Lichtheimia,Lichtheimia,Mucorales,Mucoromycota,Eukaryota
Cutibacterium,Sordariomycetes,Lulworthiaceae,Lindra,Lindra,Lulworthiales,Ascomycota,Eukaryota
