Bacterial_associate_taxa,Class,Family,Fungal_host_taxa,Genus,Order,Phylum,Superkingdom
Sediminibacterium,Chitinophagia,Chitinophagaceae,Ganoderma,Sediminibacterium,Chitinophagales,Bacteroidota,Bacteria
Sediminibacterium,Chitinophagia,Chitinophagaceae,Ilyonectria,Sediminibacterium,Chitinophagales,Bacteroidota,Bacteria
Sediminibacterium,Chitinophagia,Chitinophagaceae,Mortierella,Sediminibacterium,Chitinophagales,Bacteroidota,Bacteria
Sediminibacterium,Chitinophagia,Chitinophagaceae,Trichoderma,Sediminibacterium,Chitinophagales,Bacteroidota,Bacteria
Selenomonas,Negativicutes,Selenomonadaceae,Alternaria,Selenomonas,Selenomonadales,Firmicutes,Bacteria
Selenomonas,Negativicutes,Selenomonadaceae,Aureobasidium,Selenomonas,Selenomonadales,Firmicutes,Bacteria
Selenomonas,Negativicutes,Selenomonadaceae,Coniella,Selenomonas,Selenomonadales,Firmicutes,Bacteria
Selenomonas,Negativicutes,Selenomonadaceae,Coniochaeta,Selenomonas,Selenomonadales,Firmicutes,Bacteria
Selenomonas,Negativicutes,Selenomonadaceae,Coprinus,Selenomonas,Selenomonadales,Firmicutes,Bacteria
Selenomonas,Negativicutes,Selenomonadaceae,Fusarium,Selenomonas,Selenomonadales,Firmicutes,Bacteria
Selenomonas,Negativicutes,Selenomonadaceae,Ilyonectria,Selenomonas,Selenomonadales,Firmicutes,Bacteria
Serinicoccus,Actinomycetia,Ornithinimicrobiaceae,Pleurotus,Serinicoccus,Micrococcales,Actinobacteria,Bacteria
Serratia,Gammaproteobacteria,Yersiniaceae,Coniochaeta,Serratia,Enterobacterales,Proteobacteria,Bacteria
Serratia,Gammaproteobacteria,Yersiniaceae,Penicillium,Serratia,Enterobacterales,Proteobacteria,Bacteria
Shewanella,Gammaproteobacteria,Shewanellaceae,Mortierella,Shewanella,Alteromonadales,Proteobacteria,Bacteria
Shewanella,Gammaproteobacteria,Shewanellaceae,Mucor,Shewanella,Alteromonadales,Proteobacteria,Bacteria
Sideroxydans,Betaproteobacteria,Gallionellaceae,Beauveria,Sideroxydans,Nitrosomonadales,Proteobacteria,Bacteria
Sideroxydans,Betaproteobacteria,Gallionellaceae,Rhizopogon,Sideroxydans,Nitrosomonadales,Proteobacteria,Bacteria
Silanimonas,Gammaproteobacteria,Xanthomonadaceae,Alternaria,Silanimonas,Xanthomonadales,Proteobacteria,Bacteria
Silanimonas,Gammaproteobacteria,Xanthomonadaceae,Aspergillus,Silanimonas,Xanthomonadales,Proteobacteria,Bacteria
Silanimonas,Gammaproteobacteria,Xanthomonadaceae,Mucor,Silanimonas,Xanthomonadales,Proteobacteria,Bacteria
Silanimonas,Gammaproteobacteria,Xanthomonadaceae,Pleurotus,Silanimonas,Xanthomonadales,Proteobacteria,Bacteria
Simplicispira,Betaproteobacteria,Comamonadaceae,Conidiobolus,Simplicispira,Burkholderiales,Proteobacteria,Bacteria
Simplicispira,Betaproteobacteria,Comamonadaceae,Gyrodon,Simplicispira,Burkholderiales,Proteobacteria,Bacteria
Singulisphaera,Planctomycetia,Isosphaeraceae,Alternaria,Singulisphaera,Isosphaerales,Planctomycetota,Bacteria
Singulisphaera,Planctomycetia,Isosphaeraceae,Hypsizygus,Singulisphaera,Isosphaerales,Planctomycetota,Bacteria
Singulisphaera,Planctomycetia,Isosphaeraceae,Pleurotus,Singulisphaera,Isosphaerales,Planctomycetota,Bacteria
Siphonobacter,Cytophagia,Cytophagaceae,Fusarium,Siphonobacter,Cytophagales,Bacteroidota,Bacteria
Siphonobacter,Cytophagia,Cytophagaceae,Grifola,Siphonobacter,Cytophagales,Bacteroidota,Bacteria
Siphonobacter,Cytophagia,Cytophagaceae,Infundibulicybe,Siphonobacter,Cytophagales,Bacteroidota,Bacteria
Siphonobacter,Cytophagia,Cytophagaceae,Kuehneromyces,Siphonobacter,Cytophagales,Bacteroidota,Bacteria
Siphonobacter,Cytophagia,Cytophagaceae,Panellus,Siphonobacter,Cytophagales,Bacteroidota,Bacteria
Siphonobacter,Cytophagia,Cytophagaceae,Pleurotus,Siphonobacter,Cytophagales,Bacteroidota,Bacteria
